date,country,D,H,I,M,S
2021-04-01,Armenia,0.0,2.0,0.0,0.0,0.0
2021-04-01,Australia,0.0,26.0,0.0,0.0,0.0
2021-04-02,Armenia,0.0,2.0,0.0,0.0,0.0
2021-04-02,Australia,0.0,20.0,6.0,0.0,0.0
2021-04-03,Armenia,0.0,0.0,2.0,0.0,0.0
2021-04-03,Australia,0.0,12.0,14.0,0.0,0.0
2021-04-04,Armenia,0.0,0.0,2.0,0.0,0.0
2021-04-04,Australia,0.0,8.0,18.0,0.0,0.0
2021-04-05,Armenia,0.0,0.0,2.0,0.0,0.0
2021-04-05,Australia,0.0,6.0,20.0,0.0,0.0
2021-04-06,Armenia,0.0,0.0,2.0,0.0,0.0
2021-04-06,Australia,0.0,5.0,15.0,2.0,4.0
2021-04-07,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-07,Australia,0.0,3.0,9.0,6.0,8.0
2021-04-08,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-08,Australia,0.0,2.0,6.0,7.0,11.0
2021-04-09,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-09,Australia,0.0,1.0,5.0,9.0,11.0
2021-04-10,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-10,Australia,0.0,1.0,4.0,10.0,11.0
2021-04-11,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-11,Australia,0.0,1.0,2.0,10.0,13.0
2021-04-12,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-12,Australia,0.0,1.0,1.0,11.0,13.0
2021-04-13,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-13,Australia,0.0,1.0,0.0,12.0,13.0
2021-04-14,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-14,Australia,0.0,1.0,0.0,12.0,13.0
2021-04-15,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-15,Australia,0.0,1.0,0.0,12.0,13.0
2021-04-16,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-16,Australia,0.0,1.0,0.0,12.0,13.0
2021-04-17,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-17,Australia,0.0,0.0,1.0,12.0,13.0
2021-04-18,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-18,Australia,0.0,0.0,1.0,12.0,13.0
2021-04-19,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-19,Australia,0.0,0.0,1.0,12.0,13.0
2021-04-20,Armenia,0.0,0.0,0.0,1.0,1.0
2021-04-20,Australia,2.0,0.0,1.0,14.0,9.0
2021-04-21,Armenia,0.0,0.0,0.0,2.0,0.0
2021-04-21,Australia,2.0,0.0,0.0,18.0,6.0
2021-04-22,Armenia,0.0,0.0,0.0,2.0,0.0
2021-04-22,Australia,2.0,0.0,0.0,21.0,3.0
2021-04-23,Armenia,0.0,0.0,0.0,2.0,0.0
2021-04-23,Australia,2.0,0.0,0.0,21.0,3.0
2021-04-24,Armenia,0.0,0.0,0.0,2.0,0.0
2021-04-24,Australia,2.0,0.0,0.0,21.0,3.0
2021-04-25,Armenia,0.0,0.0,0.0,2.0,0.0
2021-04-25,Australia,3.0,0.0,0.0,22.0,1.0
2021-04-26,Armenia,0.0,0.0,0.0,2.0,0.0
2021-04-26,Australia,3.0,0.0,0.0,22.0,1.0
2021-04-27,Armenia,0.0,0.0,0.0,2.0,0.0
2021-04-27,Australia,3.0,0.0,0.0,22.0,1.0
2021-04-28,Armenia,0.0,0.0,0.0,2.0,0.0
2021-04-28,Australia,3.0,0.0,0.0,22.0,1.0
2021-04-29,Armenia,0.0,0.0,0.0,2.0,0.0
2021-04-29,Australia,3.0,0.0,0.0,22.0,1.0
2021-04-30,Armenia,0.0,0.0,0.0,2.0,0.0
2021-04-30,Australia,3.0,0.0,0.0,22.0,1.0
2021-05-01,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-01,Australia,3.0,0.0,0.0,22.0,1.0
2021-05-02,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-02,Australia,3.0,0.0,0.0,22.0,1.0
2021-05-03,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-03,Australia,3.0,0.0,0.0,22.0,1.0
2021-05-04,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-04,Australia,3.0,0.0,0.0,22.0,1.0
2021-05-05,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-05,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-06,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-06,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-07,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-07,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-08,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-08,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-09,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-09,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-10,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-10,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-11,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-11,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-12,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-12,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-13,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-13,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-14,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-14,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-15,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-15,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-16,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-16,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-17,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-17,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-18,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-18,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-19,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-19,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-20,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-20,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-21,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-21,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-22,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-22,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-23,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-23,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-24,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-24,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-25,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-25,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-26,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-26,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-27,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-27,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-28,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-28,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-29,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-29,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-30,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-30,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-31,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-31,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-01,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-01,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-02,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-02,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-03,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-03,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-04,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-04,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-05,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-05,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-06,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-06,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-07,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-07,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-08,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-08,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-09,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-09,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-10,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-10,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-11,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-11,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-12,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-12,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-13,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-13,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-14,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-14,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-15,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-15,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-16,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-16,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-17,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-17,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-18,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-18,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-19,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-19,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-20,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-20,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-21,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-21,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-22,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-22,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-23,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-23,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-24,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-24,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-25,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-25,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-26,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-26,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-27,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-27,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-28,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-28,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-29,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-29,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-30,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-30,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-01,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-01,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-02,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-02,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-03,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-03,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-04,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-04,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-05,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-05,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-06,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-06,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-07,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-07,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-08,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-08,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-09,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-09,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-10,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-10,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-11,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-11,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-12,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-12,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-13,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-13,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-14,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-14,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-15,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-15,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-16,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-16,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-17,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-17,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-18,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-18,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-19,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-19,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-20,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-20,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-21,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-21,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-22,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-22,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-23,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-23,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-24,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-24,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-25,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-25,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-26,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-26,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-27,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-27,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-28,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-28,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-29,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-29,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-30,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-30,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-31,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-31,Australia,3.0,0.0,0.0,23.0,0.0
2021-08-01,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-01,Australia,3.0,0.0,0.0,23.0,0.0
2021-08-02,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-02,Australia,3.0,0.0,0.0,23.0,0.0
2021-08-03,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-03,Australia,3.0,0.0,0.0,23.0,0.0
2021-08-04,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-04,Australia,3.0,2.0,0.0,21.0,0.0
2021-08-05,Armenia,0.0,1.0,0.0,1.0,0.0
2021-08-05,Australia,3.0,5.0,1.0,17.0,0.0
2021-08-06,Armenia,0.0,1.0,0.0,1.0,0.0
2021-08-06,Australia,3.0,6.0,1.0,16.0,0.0
2021-08-07,Armenia,0.0,1.0,0.0,1.0,0.0
2021-08-07,Australia,3.0,8.0,1.0,14.0,0.0
2021-08-08,Armenia,0.0,1.0,0.0,1.0,0.0
2021-08-08,Australia,3.0,6.0,4.0,13.0,0.0
2021-08-09,Armenia,0.0,1.0,0.0,1.0,0.0
2021-08-09,Australia,3.0,5.0,4.0,14.0,0.0
2021-08-10,Armenia,0.0,1.0,0.0,1.0,0.0
2021-08-10,Australia,3.0,5.0,5.0,13.0,0.0
2021-08-11,Armenia,0.0,0.0,1.0,1.0,0.0
2021-08-11,Australia,3.0,6.0,5.0,12.0,0.0
2021-08-12,Armenia,0.0,0.0,1.0,1.0,0.0
2021-08-12,Australia,3.0,5.0,3.0,14.0,1.0
2021-08-13,Armenia,0.0,0.0,1.0,1.0,0.0
2021-08-13,Australia,3.0,4.0,3.0,14.0,2.0
2021-08-14,Armenia,0.0,0.0,1.0,1.0,0.0
2021-08-14,Australia,3.0,4.0,2.0,14.0,3.0
2021-08-15,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-15,Australia,3.0,3.0,3.0,14.0,3.0
2021-08-16,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-16,Australia,3.0,3.0,2.0,15.0,3.0
2021-08-17,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-17,Australia,3.0,3.0,1.0,15.0,4.0
2021-08-18,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-18,Australia,3.0,4.0,2.0,13.0,4.0
2021-08-19,Armenia,0.0,1.0,0.0,1.0,0.0
2021-08-19,Australia,3.0,6.0,3.0,9.0,5.0
2021-08-20,Armenia,0.0,1.0,0.0,1.0,0.0
2021-08-20,Australia,3.0,5.0,7.0,6.0,5.0
2021-08-21,Armenia,0.0,1.0,0.0,1.0,0.0
2021-08-21,Australia,3.0,4.0,8.0,6.0,5.0
2021-08-22,Armenia,0.0,1.0,0.0,1.0,0.0
2021-08-22,Australia,3.0,2.0,9.0,7.0,5.0
2021-08-23,Armenia,0.0,0.0,1.0,1.0,0.0
2021-08-23,Australia,3.0,3.0,7.0,7.0,6.0
2021-08-24,Armenia,0.0,0.0,1.0,1.0,0.0
2021-08-24,Australia,3.0,2.0,4.0,9.0,8.0
2021-08-25,Armenia,0.0,0.0,1.0,1.0,0.0
2021-08-25,Australia,3.0,2.0,3.0,10.0,8.0
2021-08-26,Armenia,0.0,0.0,1.0,1.0,0.0
2021-08-26,Australia,3.0,1.0,2.0,13.0,7.0
2021-08-27,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-27,Australia,3.0,1.0,2.0,14.0,6.0
2021-08-28,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-28,Australia,3.0,1.0,1.0,16.0,5.0
2021-08-29,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-29,Australia,3.0,1.0,1.0,16.0,5.0
2021-08-30,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-30,Australia,3.0,1.0,0.0,17.0,5.0
2021-08-31,Armenia,0.0,0.0,0.0,2.0,0.0
2021-08-31,Australia,3.0,1.0,0.0,18.0,4.0
2021-09-01,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-01,Australia,3.0,1.0,0.0,18.0,4.0
2021-09-02,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-02,Australia,4.0,2.0,0.0,17.0,3.0
2021-09-03,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-03,Australia,4.0,2.0,0.0,17.0,3.0
2021-09-04,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-04,Australia,4.0,2.0,0.0,17.0,3.0
2021-09-05,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-05,Australia,4.0,2.0,0.0,17.0,3.0
2021-09-06,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-06,Australia,4.0,2.0,0.0,18.0,2.0
2021-09-07,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-07,Australia,4.0,1.0,1.0,20.0,0.0
2021-09-08,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-08,Australia,4.0,1.0,1.0,20.0,0.0
2021-09-09,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-09,Australia,4.0,1.0,1.0,20.0,0.0
2021-09-10,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-10,Australia,4.0,1.0,1.0,20.0,0.0
2021-09-11,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-11,Australia,4.0,1.0,0.0,20.0,1.0
2021-09-12,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-12,Australia,4.0,1.0,0.0,20.0,1.0
2021-09-13,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-13,Australia,4.0,1.0,0.0,20.0,1.0
2021-09-14,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-14,Australia,4.0,1.0,0.0,20.0,1.0
2021-09-15,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-15,Australia,4.0,1.0,0.0,20.0,1.0
2021-09-16,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-16,Australia,4.0,1.0,0.0,20.0,1.0
2021-09-17,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-17,Australia,4.0,1.0,0.0,20.0,1.0
2021-09-18,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-18,Australia,4.0,0.0,1.0,20.0,1.0
2021-09-19,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-19,Australia,4.0,0.0,1.0,20.0,1.0
2021-09-20,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-20,Australia,4.0,0.0,1.0,20.0,1.0
2021-09-21,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-21,Australia,4.0,0.0,1.0,20.0,1.0
2021-09-22,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-22,Australia,4.0,0.0,0.0,20.0,2.0
2021-09-23,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-23,Australia,4.0,0.0,0.0,20.0,2.0
2021-09-24,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-24,Australia,4.0,0.0,0.0,20.0,2.0
2021-09-25,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-25,Australia,4.0,0.0,0.0,21.0,1.0
2021-09-26,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-26,Australia,4.0,0.0,0.0,21.0,1.0
2021-09-27,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-27,Australia,4.0,0.0,0.0,21.0,1.0
2021-09-28,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-28,Australia,4.0,0.0,0.0,21.0,1.0
2021-09-29,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-29,Australia,4.0,0.0,0.0,21.0,1.0
2021-09-30,Armenia,0.0,0.0,0.0,2.0,0.0
2021-09-30,Australia,4.0,0.0,0.0,21.0,1.0
2021-10-01,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-01,Australia,4.0,0.0,0.0,21.0,1.0
2021-10-02,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-02,Australia,4.0,0.0,0.0,21.0,1.0
2021-10-03,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-03,Australia,4.0,0.0,0.0,21.0,1.0
2021-10-04,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-04,Australia,4.0,0.0,0.0,21.0,1.0
2021-10-05,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-05,Australia,4.0,0.0,0.0,21.0,1.0
2021-10-06,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-06,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-07,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-07,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-08,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-08,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-09,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-09,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-10,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-10,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-11,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-11,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-12,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-12,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-13,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-13,Australia,4.0,0.0,0.0,22.0,0.0
2021-10-14,Armenia,0.0,0.0,0.0,2.0,0.0
2021-10-14,Australia,4.0,0.0,0.0,22.0,0.0
